Active,x1,pmv1,x2,pmv2,x3,pmv3,x4,pmv4,x5,pmv5,LUMO,HOMO,GapHL,Dipole_Moment,ASA,a_aro,a_count,a_heavy,balabanJ,chi0,KierFlex,lip_acc,lip_don,logS,mr,rings,vdw_area,vdw_vol,Weight,weinerPath,weinerPol,zagreb,apol,bpol,McGowan_Volume,PetitjeanNumber,CPCM1,CPCM2,CPCM3,CPCM4,CPCM5,SMD1,SMD2,SMD3,SMD4,SMD5,mol
1,37.9795837,169.997406,52.71661,404.245483,139.412445,140.044617,4.29764366,292.944,28.0230923,170.786041,-0.05165,-0.45777,-11.05117499,0,259.09637,0,8,8,4.0203915,7,3.0993681,0,0,-2.6396999,1.992434,0,115.88725,107.23528,170.92,58,9,38,10.108,5.652,0.706,0.333333333,-17.95679188,-17.65209769,-17.65824341,-18.07708874,-18.17377111,-18.63016551,-17.90294279,-17.7271889,-18.05194319,-13.80553872,ClC(F)(F)C(Cl)(F)F
1,75.0303497,392.657501,66.6450958,792.212769,352.056915,377.674957,-5.89321756,358.615875,53.8606224,393.56427,0.00755,-0.3241,-9.02472714,0.3141,471.90726,5,43,18,1.8501457,12.424439,3.9820592,1,0,-3.4900601,8.0222301,3,275.36215,391.55707,263.44901,528,30,96,48.829825,31.590175,2.2145,0.428571429,-247.8543351,-246.975186,-246.992635,-248.2096689,-248.4988139,-255.605253,-253.3382431,-253.0190862,-253.4844978,-246.5099139,C[C@H]1[C@@](N2CCCCC2)(c2sccc2)CCCC1
1,98.3765182,503.202484,100.648026,1057.32068,443.864227,469.030701,-4.0938673,533.184204,67.3827438,500.959686,-0.01332,-0.32964,-8.607573312,3.1764,625.901,11,48,25,1.4396491,17.974327,3.6214066,7,1,-2.61185,9.5702,3,371.86798,470.13156,341.41498,1685,40,130,54.120239,34.979761,2.6344,0.5,-261.9954921,-259.3392131,-259.3918268,-263.072341,-263.950062,-273.4140225,-270.3562951,-269.9740222,-270.6388543,-266.8659326,O=C1N(C)C(=O)c2n(CCN[C@H](Cc3ccccc3)C)cnc2N1C
1,92.5640793,468.065063,97.9107513,993.392273,409.989258,431.859131,-2.53858185,517.478821,64.8266983,466.142395,-0.00943,-0.33724,-8.920234596,3.2414,589.74353,6,42,21,1.6569875,15.242276,6.0705619,4,1,-3.2093,8.7399302,2,338.85068,420.02008,330.259,1108,28,102,48.864653,29.375347,2.4358,0.461538462,-229.0788342,-226.4738294,-226.5247951,-230.1547522,-231.0409161,-237.615592,-233.5236621,-233.1450901,-237.4885818,-234.0840087,Clc1c(N2CCN(CCCNC(=O)C)CC2)cc(Cl)cc1
1,144.912735,737.176025,135.177597,1464.03638,662.010498,708.867981,-6.71008205,714.396484,107.607346,740.246216,0.00744,-0.38291,-10.62204806,4.9008,782.46204,0,81,33,1.507773,24.181435,9.4389029,2,0,-12.01897,14.411599,4,535.87286,736.57324,588.50897,3144,67,186,90.750064,57.927936,4.1847,0.470588235,-470.0812629,-467.5410033,-467.5906401,-471.1318304,-471.9974228,-480.3666162,-477.0675006,-476.496823,-478.700945,-467.5153209,Br[C@@H]1[C@]2(Br)[C@@](C)([C@H]3[C@H]([C@H]4[C@](C)([C@H]([C@H](CCCC(C)C)C)CC4)CC3)C1)CC[C@H](OC(=O)C)C2
1,69.006424,341.115234,76.9029922,736.795471,296.926788,310.802673,0.0382,411.089966,48.1304207,341.618561,-0.00172,-0.39881,-10.80545424,3.5519,442.58145,0,30,15,4.1757879,12.060478,5.34621,5,2,-2.5378001,6.0608802,0,274.27271,298.85693,279.134,394,20,66,33.497895,21.882105,1.7984,0.5,-160.534179,-158.1493579,-158.1960234,-161.5182994,-162.3281223,-164.0095708,-162.2348486,-161.9619715,-164.4051845,-163.1847541,BrC(C(=O)NC(=O)NC(=O)C)(CC)CC
1,133.635117,656.418579,143.826691,1355.53699,579.870361,609.808594,0.370512009,753.727051,88.4866867,649.266052,-0.03475,-0.33493,-8.168378088,4.2488,741.7962,11,57,33,1.9618959,24.380104,7.9343395,11,2,-4.4971499,12.306145,2,485.21204,586.07025,476.50998,3503,45,158,65.877032,42.056968,3.3939,0.5,-294.9579607,-290.6360422,-290.7214548,-296.7158311,-298.1511381,-301.9876881,-298.0067818,-297.5209153,-301.3514404,-302.6644465,S(/C(=C(/N(C=O)Cc1c(N)nc(C)nc1)\C)/CCOC(=O)COC(=O)C)C(=O)c1occc1
1,56.4874916,280.45462,66.4080734,620.603638,241.623169,251.250214,0.536445022,364.516052,35.6366501,280.332489,0.0244,-0.38593,-11.16573583,2.0898,388.48441,0,25,13,3.8288329,10.430721,3.3132591,6,4,-0.12856001,4.4974542,0,205.46443,227.91747,188.183,274,13,54,25.729516,15.992484,1.4003,0.428571429,-138.2947436,-134.4401384,-134.5155865,-139.8835766,-141.1895738,-139.2415455,-135.6017488,-135.3862767,-143.6278456,-148.2930907,O=C(O)[C@H](NC(=O)C)CCC(=O)N
1,72.5285416,375.940613,76.4910965,810.055725,330.039093,346.949524,-3.85308099,404.206573,48.6061325,373.478485,-0.02013,-0.3215,-8.200759892,2.4601,512.58533,12,33,20,1.7227411,14.53517,2.9066765,5,2,-3.3464401,7.4505372,2,273.67453,354.95972,271.272,920,27,98,39.376309,18.703691,1.9955,0.5,-170.66614,-168.2124937,-168.260149,-171.6908502,-172.5402175,-176.171689,-174.2491025,-173.943434,-174.8414631,-173.5603197,O=C(Nc1ccc(OC(=O)c2c(O)cccc2)cc1)C
1,51.1266327,259.974182,61.1682472,582.836853,224.66423,233.034866,-0.75583595,326.044922,25.7146416,254.390411,-0.0501,-0.36241,-8.498454796,7.2372,376.56186,5,19,13,2.3835132,10.060478,3.3069141,7,3,-2.3608899,4.6927123,1,197.6411,208.98045,222.24901,257,14,64,23.646758,17.593242,1.3369,0.428571429,-92.40796007,-87.45163032,-87.54904719,-94.43955776,-96.10506956,-91.40142081,-86.37238837,-86.18353197,-95.91507935,-103.6949293,S(=O)(=O)(N)c1sc(NC(=O)C)nn1
1,109.431602,555.319763,112.536606,1162.9574,492.119995,518.904053,-3.9368403,588.843689,74.043602,553.339172,0.00193,-0.34956,-9.564605284,2.5202,674.36102,12,50,27,1.7049856,19.484917,6.8225927,5,1,-4.9115801,10.984765,2,396.88824,516.57428,385.48398,2202,33,126,59.504239,32.873761,2.9614,0.466666667,-264.832752,-262.2677518,-262.3183993,-265.8781136,-266.7330633,-273.6516428,-271.1300157,-270.6822123,-271.8019175,-267.7706991,S(C(=O)C)C[C@H](C(=O)NCC(=O)OCc1ccccc1)Cc1ccccc1
1,123.675331,627.333374,116.366989,1241.59326,564.252075,602.572571,-4.89630938,616.774353,87.6901321,628.723145,0.00935,-0.32593,-9.123505248,1.4245,661.16724,6,68,33,1.5391129,23.38854,4.1127148,6,1,-3.9274099,12.381925,6,439.82947,626.08868,453.57898,2454,79,204,75.967755,46.948245,5.5388,0.454545455,-380.0722494,-377.3050634,-377.3594495,-381.2069522,-382.1375692,-386.9877723,-383.1391997,-382.6604282,-387.1372186,-383.0158631,O=C(Oc1c(OC)c2c(cc1)C[C@H]1N(C)CC[C@]32[C@H]2[C@](O)(CCC)[C@@H]4[C@@]2(OC)C=C[C@]13C4)C
1,112.446075,557.951904,111.249405,1121.1438,497.924316,528.914429,-1.57929313,591.62561,79.817215,560.742981,0.01744,-0.32693,-9.370858692,1.7257,603.46057,12,57,26,2.4384968,19.15649,5.6503878,3,0,-4.30831,10.88546,2,418.14618,542.30786,353.50598,1436,43,128,63.854583,38.743417,3.0483,0.5,-320.5582201,-318.6118874,-318.6502495,-321.3531073,-322.0036711,-329.1568638,-325.9467268,-325.5214678,-326.9247688,-320.0968506,O([C@@H](C(C[C@H](N(C)C)C)(c1ccccc1)c1ccccc1)CC)C(=O)C
1,141.396011,696.565613,149.928818,1437.8396,615.464294,649.340454,0.0481,794.554016,96.6684189,691.25647,-0.00435,-0.33138,-8.899009548,4.0128,787.17645,0,66,34,1.7307776,25.258783,7.0497556,10,0,-4.05865,11.916678,3,475.64456,615.38831,480.50998,3542,52,180,71.597376,50.310624,3.4934,0.466666667,-354.7526524,-351.1761437,-351.2468901,-356.2055063,-357.3910565,-360.0901694,-357.3923417,-356.8265541,-361.6027157,-360.8365697,O=C(O[C@H]1OC=C(COC(=O)C)C=2[C@H]1[C@]1([C@@H](OC(=O)CC(C)C)C=2)OC1)CC(OC(=O)C)(C)C
1,110.005753,560.70874,103.269409,1120.88196,502.561096,537.600281,-5.18306494,547.048279,78.7286148,563.194153,-0.01536,-0.37236,-9.7145412,5.1153,605.42163,0,60,31,1.5690434,22.396976,3.9577074,6,2,-3.7892101,10.975289,5,394.06198,556.87793,432.48798,2213,76,188,66.945997,38.654003,3.1021,0.461538462,-329.2362161,-326.0677864,-326.1300292,-330.5367674,-331.6042382,-335.1436235,-331.7782641,-331.358897,-337.1556132,-335.9127473,F[C@@]12[C@@H](O)C[C@]3(C)[C@@]4(C(=O)CO)O[C@@H](C=C)O[C@H]4C[C@H]3[C@@H]1CCC=1[C@@]2(C)C=CC(=O)C=1
1,76.5878372,383.389862,81.8207779,818.288208,335.888885,353.660217,-1.3039434,435.458344,54.0713272,382.612366,-0.00203,-0.34795,-9.413036672,1.072,484.12671,6,35,17,2.3852763,13.052042,4.3473501,3,2,-3.2353599,7.0109029,1,276.33466,342.34167,255.745,562,21,82,39.766274,22.311726,1.9993,0.5,-189.9796017,-188.472177,-188.5021634,-190.5871995,-191.0810914,-195.2747776,-192.8347468,-192.5094525,-194.531956,-190.7643861,Clc1ccc(CC(OC(=O)[C@H](N)C)(C)C)cc1
1,137.87561,696.755493,134.104309,1381.97986,624.898193,667.261719,-4.33985806,707.600342,96.171669,697.316162,-0.01536,-0.37158,-9.693316152,5.7943,721.38452,0,73,36,1.7384133,26.629028,6.790278,7,1,-5.1349602,13.565794,4,503.87738,681.04156,521.04999,3486,78,202,81.745341,48.532659,3.8947,0.466666667,-406.9494805,-401.6563238,-401.7577343,-409.2056718,-411.0975856,-414.0871569,-408.9634098,-408.4754893,-417.3368993,-416.7438448,Cl[C@@H]1[C@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@H](C)C[C@H]23)[C@@]2(C)C(=CC(=O)C=C2)C1
1,85.0049057,442.693634,80.0280914,915.181396,394.570068,419.67926,-5.78050327,434.593475,60.9627953,443.583496,-0.01288,-0.3108,-8.106879872,1.4059,555.30756,10,46,21,1.725498,14.819627,3.5478289,2,1,-4.0755601,8.7770948,3,300.85941,433.27881,283.41501,876,35,110,52.011825,29.310175,2.4034,0.444444444,-261.4677981,-260.0433793,-260.0714577,-262.0494969,-262.5256024,-271.1097836,-268.3378986,-267.9732863,-268.6619488,-262.1698063,Oc1cc2c3c(c1)C[C@@H](N(CCC)CCC)Cc3ccc2
1,94.9632492,493.042847,84.5282211,985.926941,442.860321,476.448395,-6.69384861,450.750244,69.9502792,497.165283,0.01547,-0.37268,-10.56218254,1.6969,541.91217,0,57,25,1.6410018,17.982763,3.9523222,4,2,-3.9166801,9.5377493,4,335.15796,490.72656,348.483,1305,53,146,61.505376,36.898624,2.7819,0.5,-329.9331322,-327.5387579,-327.5860178,-330.908631,-331.7057592,-336.3924089,-333.5117152,-333.1282299,-338.7200965,-336.1661254,O=C(CO)[C@@H]1[C@@]2(C)[C@@H]([C@@H]3[C@@H](C(=O)C2)[C@@]2(C)[C@@H](C[C@H](O)CC2)CC3)CC1
1,91.4142075,479.836212,79.8553467,956.378906,430.847443,464.662506,-7.52304173,427.277924,67.181778,482.856262,0.02621,-0.36869,-10.74586084,4.0896,534.72583,0,56,24,1.6586603,17.275656,3.5558493,3,1,-4.1265802,9.3630695,4,325.12802,482.20435,332.48398,1149,51,142,60.703376,36.898624,2.7232,0.454545455,-326.1865594,-323.85471,-323.899875,-327.163978,-327.9755559,-332.4652109,-329.9070016,-329.5322144,-333.7302536,-329.8516851,O=C(C)[C@H]1[C@@]2(C)[C@@H]([C@@H]3[C@@H](C(=O)C2)[C@@]2(C)[C@@H](C[C@H](O)CC2)CC3)CC1
1,125.710876,624.721375,128.22728,1275.06519,553.689453,586.495972,-1.48383653,685.691406,89.3628006,626.187744,-0.0028,-0.33721,-9.099831156,5.8579,710.55463,6,62,30,1.5958692,21.562267,5.9487166,9,0,-2.8241401,11.459635,3,460.32297,574.51544,416.526,2599,49,152,67.303376,45.414624,3.2586,0.466666667,-345.3363397,-342.322805,-342.3819423,-346.5754489,-347.5935688,-352.2831293,-348.2821929,-347.7831809,-351.7554539,-350.0716549,O=C(N(c1ccccc1)C1(COC)CCN(CCN2C(=O)N(CC)N=N2)CC1)CC
1,106.634026,549.451904,97.0687103,1092.15283,494.555328,531.639954,-6.40710831,511.505676,77.4561996,551.350281,0.00209,-0.36497,-9.988289896,5.0563,586.14758,0,62,28,1.495441,20.11252,3.5324316,4,0,-5.94805,10.639901,5,369.20602,548.49463,386.53198,1738,64,174,68.118962,42.917038,3.053,0.5,-353.8345685,-351.748425,-351.7890858,-354.700629,-355.4157595,-360.6132432,-358.5171135,-358.0876999,-360.5520722,-355.6175686,O=C(C)[C@@]12[C@]3(C)[C@@H]([C@@H]4[C@@H]([C@@]5(C)C(=CC(=O)CC5)CC4)CC3)C[C@@H]1OC(C)(C)O2
1,48.9597282,239.743408,57.700985,535.104248,205.456192,212.723312,0.955228865,318.918243,33.6088104,239.678787,0.00632,-0.39291,-10.86368707,1.656,344.67117,0,20,11,2.5137055,8.4307213,1.5262601,4,0,-1.0935301,3.9055178,1,171.57622,196.02446,155.153,150,14,52,21.827137,15.650863,1.1332,0.5,-104.7311589,-102.9672374,-103.0019076,-105.4540027,-106.0464092,-106.0444198,-105.2069322,-104.9954511,-105.7085789,-105.8719071,O=C1N(CC=C)C(=O)O[C@@H]1C
1,92.5480728,478.91864,95.726326,1020.98956,421.635345,444.787384,-5.04891014,503.609924,63.3316422,474.914459,0.00032,-0.31984,-8.712065856,4.1802,619.82764,12,43,24,1.3673843,16.940947,4.630558,5,1,-4.0261502,9.4328947,3,342.29388,449.17035,346.814,1588,33,122,51.135067,28.620933,2.5161,0.466666667,-229.0464982,-226.1759331,-226.2317206,-230.2453179,-231.2396824,-237.2105319,-233.640906,-233.2551369,-235.4392361,-232.5878118,Clc1cc(COc2ccc(N3C(=O)O[C@H](CNC)C3)cc2)ccc1
1,65.4985962,333.123016,71.9479446,717.823608,290.815735,305.740295,-1.53556609,388.519043,42.7943954,332.607178,0.01192,-0.31422,-8.874791224,8.1654,440.14343,5,31,15,2.3526125,11.422285,2.6338384,4,1,-0.53492999,5.9381938,1,241.81519,293.46521,208.261,399,19,70,33.832688,22.047312,1.6949,0.444444444,-173.2407055,-169.9869224,-170.0489522,-174.6368736,-175.8113775,-177.217012,-173.746247,-173.489986,-178.5254577,-178.7403056,O=C(NCCn1c(C)c(C=O)cc1C)C
