Active,x1,pmv1,x2,pmv2,x3,pmv3,x4,pmv4,x5,pmv5,LUMO,HOMO,GapHL,Dipole_Moment,ASA,a_aro,a_count,a_heavy,balabanJ,chi0,KierFlex,lip_acc,lip_don,logS,mr,rings,vdw_area,vdw_vol,Weight,weinerPath,weinerPol,zagreb,apol,bpol,McGowan_Volume,PetitjeanNumber,CPCM1,CPCM2,CPCM3,CPCM4,CPCM5,SMD1,SMD2,SMD3,SMD4,SMD5,mol
0,62.7162399,313.242157,70.6185684,691.892273,270.876312,282.615509,-0.468147367,385.988281,37.4837265,308.750549,-0.03951,-0.35115,-8.480223024,3.8548,438.80634,0,27,12,3.009208,9.4497471,11.327873,5,5,0.31511,5.179162,0,227.46637,242.27084,214.226,261,9,48,29.937895,24.836105,1.5569,0.444444444,-153.3322875,-148.0207072,-148.1265321,-155.4664105,-157.1970934,-155.0945254,-147.5406449,-147.296931,-162.9233206,-166.4860028,S(P(=O)(O)O)CCNCCCN
//0,103.126022,520.824768,108.034821,1093.37598,459.793427,484.220886,-2.80244493,569.208984,70.2835999,517.915222,-0.03536,-0.34568,-8.444303712,5.6589,625.1546,16,46,28,1.5187331,20.051678,3.8200793,9,2,-4.2306499,10.204739,4,382.73071,482.30212,403.82599,1920,55,156,54.570274,29.571726,2.7226,0.5,-238.0983017,-233.9745969,-234.0545767,-239.8238595,-241.255593,-246.853992,-242.1012515,-241.725108,-246.3430289,-247.0421965,Clc1c2C(=O)N(C)Cc3c(-c4nc(C(CO)(CO)C)on4)ncn3-c2ccc1
0,87.206192,435.497925,94.3771896,931.233093,381.462097,400.444824,-1.27123094,502.593719,60.4303818,434.531189,0.01009,-0.31683,-8.896016272,3.4687,550.55682,6,38,19,2.2326572,14.087576,7.8664813,3,1,-3.27086,8.0590696,1,314.7493,383.81918,304.21698,846,23,84,44.373067,24.548933,2.2626,0.5,-205.4908784,-203.0652284,-203.1131442,-206.4784911,-207.2855309,-213.1986411,-210.1243553,-209.7748423,-212.5440591,-207.1695197,ClCCN(CCCl)c1ccc(CCCC(=O)O)cc1
xx0,85.9699936,417.420685,98.9574966,899.908386,363.212402,378.546082,1.84647036,524.479492,58.7709351,417.436066,0.00784,-0.31771,-8.85873638,9.3716,514.97656,5,37,17,2.2923491,12.932875,8.8328953,6,5,-0.63608003,7.1704612,1,309.54306,342.75287,256.37799,1108,13,66,35.142274,25.257726,1.7448,0.5,-143.6839047,-139.6009046,-139.6808023,-145.3697427,-146.7580129,-154.4360919,-149.6431885,-149.3794558,-150.6373835,-142.4243887,S(CCNCNC)Cc1c(C)[nH]cn1.N#CN
xx0,77.0030594,393.401611,83.7203445,846.373413,345.030914,361.679443,-2.73241091,440.04129,47.3274651,387.205505,-0.0319,-0.34261,-8.454916236,6.9657,513.9021,11,32,21,1.9682306,15.620955,4.5299897,7,4,-3.63111,7.740808,2,292.25812,355.67416,330.74799,939,30,108,39.744723,21.795277,2.1032,0.5,-158.2395207,-153.9958549,-154.0796195,-159.9686574,-161.3819016,-160.6564776,-156.6226417,-156.3161716,-163.7190105,-167.8773607,Clc1c(S(=O)(=O)N)cc(C(=O)O)c(NCc2occc2)c1
xx0,108.038475,550.848633,111.435905,1147.10608,488.111359,516.435791,-3.84715509,596.46991,72.5274048,550.791992,-0.03963,-0.34033,-8.18252812,2.5745,660.16956,6,54,28,1.595853,20.258783,5.1881018,9,1,-2.54546,10.179272,3,397.00119,507.14767,390.44,2129,41,144,59.186618,37.535382,2.8946,0.461538462,-300.4129322,-295.4558646,-295.5516551,-302.4977323,-304.2319482,-307.9970373,-302.8682256,-302.4597655,-310.0266696,-310.9285708,O=[N+]([O-])c1cc(CC(=O)N2[C@@H](CN3C[C@@H](O)CC3)CN(C(=O)C)CC2)ccc1
xx0,115.112259,588.108337,115.359703,1207.28577,522.337341,554.684448,-4.5775547,617.620239,73.8631668,583.122742,-0.03519,-0.33976,-8.287837012,2.2431,681.92505,6,58,29,1.5573932,21.181435,6.283236,8,1,-1.89592,11.044327,3,428.57639,546.76514,423.534,2413,43,152,64.746997,46.035003,3.1422,0.5,-324.0639628,-317.825787,-317.9472399,-326.6595283,-328.8063088,-330.9913985,-323.8129272,-323.3845442,-337.4044343,-342.4757591,S(=O)(=O)(C)c1ccc(CC(=O)N2[C@@H](CN3C[C@@H](O)CC3)CN(C(=O)C)CC2)cc1
//0,-6081.17773,-28451.6602,66.1188354,701.442688,292.448273,309.693878,-13.9078302,365.329773,16.7754917,351.565826,-0.15514,-0.48229,-8.90227494,13.3252,427.5387,0,36,15,1.7754995,10.725768,3.7427039,5,6,-0.77048999,5.6820774,2,218.86772,294.39743,215.297,391,18,76,36.506653,25.469347,1.7172,0.444444444,-237.7897318,-223.1708373,-223.4648259,-243.5884226,-248.2613504,-249.1218273,-232.4271163,-232.4501276,-253.9619607,-254.4182423,[N+H3][C-](NC[C@@H]1OC2(OC1)CCCCC2)N
//0,123.423729,610.733459,137.966003,1293.63513,535.950073,560.332092,0.0692,722.263916,80.8272171,606.09668,-0.02997,-0.33578,-8.321579396,5.9883,725.37531,5,51,32,1.3765556,22.990835,5.4298415,14,6,-3.3554399,11.338306,4,419.36606,521.22028,481.51801,3081,49,172,60.539067,34.080933,3.1033,0.5,-205.5232161,-199.7350924,-199.8477728,-170.9598399,-178.1135161,-209.570107,-203.4839688,-203.0173192,-176.0742945,-189.8229628,O=C(N[C@@H]1C(=O)N2C(C(=O)O)=C(CN3NC(C)=NN3)CS[C@@H]12)/C(=N/OC)/c1nc(N)sc1
0,133.188339,677.263489,128.716507,1366.73962,606.09021,644.02594,-5.64342976,681.174377,93.3379364,674.331543,0.00354,-0.344,-9.457119464,2.1311,768.11536,18,67,34,1.4408697,24.183588,6.1224923,4,1,-5.9552002,13.989108,4,505.55478,675.10535,477.048,3458,60,180,79.028169,41.413831,3.7697,0.466666667,-368.3755136,-365.6000742,-365.6543393,-369.5237583,-370.4709057,-381.1107733,-376.5801767,-376.0654866,-379.1145189,-372.4820941,Clc1ccc(C2(O)CCN(CCC(C(=O)N(C)C)(c3ccccc3)c3ccccc3)CC2)cc1
//0,119.978897,607.346375,122.16256,1254.75439,539.21521,570.434875,-3.85709643,642.414185,82.3283386,604.962097,-0.00297,-0.31332,-8.44512006,4.2594,699.99426,11,56,29,1.2194309,20.639618,6.2724037,7,2,-3.9377501,11.710097,3,432.18491,559.3161,413.54599,3027,37,144,64.967411,40.610589,3.1776,0.5,-307.4396835,-302.1769699,-302.2773159,-309.7022477,-311.6106854,-319.7371111,-312.3938786,-311.9696762,-319.3070819,-317.9784977,S(CCNC1=NC(=O)C(Cc2cnc(C)cc2)=CN1)Cc1oc(CN(C)C)cc1
//0,163.064896,816.345276,157.455231,1614.99146,733.894775,781.976196,-4.35960388,827.849487,114.939644,813.570801,-0.00435,-0.2996,-8.0342249,0.244,840.45142,12,82,39,1.4492093,27.940582,9.1374741,7,4,-7.0671501,15.798656,4,559.09265,772.46814,553.76801,5064,62,200,92.640099,54.503901,4.3958,0.5,-458.4640921,-454.8491095,-454.9194966,-459.9697234,-461.2167649,-471.8713446,-466.4345567,-465.8135578,-471.8964486,-465.049105,S(C[C@H](NC(=O)c1c(C)c(O)ccc1)[C@H](O)CN1[C@H](C(=O)NC(C)C)C[C@H]2[C@@H](C1)CCCC2)c1ccccc1
